Name,Team,POS,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Aaron Judge,NYY,OF,141,633,522,148,23,2,42,109,102,112,156,9,3,0.283,0.415,0.583,0.998
Bobby Witt Jr.,KCR,SS,140,634,575,168,33,6,28,99,89,47,106,31,7,0.293,0.351,0.519,0.87
Gunnar Henderson,BAL,SS,146,666,591,162,35,6,28,101,84,70,135,24,6,0.275,0.357,0.489,0.846
Cal Raleigh,SEA,C,138,615,545,125,20,2,38,88,91,76,163,8,3,0.23,0.331,0.487,0.818
Julio Rodriguez,SEA,OF,139,618,563,155,28,4,30,85,91,45,134,23,6,0.275,0.334,0.491,0.825
Juan Soto,NYM,OF,138,621,493,135,25,2,34,105,89,117,110,20,5,0.273,0.413,0.533,0.946
Shohei Ohtani,LAD,DH,142,658,535,147,31,3,44,120,99,91,160,22,4,0.275,0.38,0.578,0.958
Ronald Acuna Jr.,ATL,OF,147,676,588,168,29,3,31,109,84,90,135,24,8,0.286,0.388,0.503,0.891
Vladimir Guerrero Jr.,TOR,1B,143,637,565,168,35,2,32,94,99,74,87,5,2,0.297,0.383,0.531,0.914
Fernando Tatis Jr.,SDP,OF,130,579,516,142,24,3,29,86,83,63,112,21,5,0.275,0.36,0.503,0.863
Elly De La Cruz,CIN,SS,140,617,546,143,23,7,23,83,82,63,137,38,10,0.263,0.342,0.465,0.807
Francisco Lindor,NYM,SS,132,608,536,139,29,3,25,89,69,55,112,22,4,0.259,0.336,0.452,0.788
Yordan Alvarez,HOU,OF,122,551,486,145,30,1,30,90,84,70,94,4,1,0.299,0.397,0.558,0.955
Mookie Betts,LAD,SS,132,591,511,140,35,2,22,84,79,64,60,8,3,0.274,0.355,0.468,0.823
Corbin Carroll,ARI,OF,135,605,529,138,24,10,26,90,85,65,125,32,7,0.261,0.349,0.498,0.847
Ketel Marte,ARI,2B,133,601,523,146,30,3,26,90,79,65,99,6,2,0.28,0.364,0.494,0.858
Jose Ramirez,CLE,3B,136,604,527,145,33,4,27,83,88,58,72,30,6,0.275,0.349,0.492,0.841
William Contreras,MIL,C,132,586,511,138,25,1,20,74,74,69,110,6,2,0.27,0.359,0.445,0.804
Alejandro Kirk,TOR,C,107,446,389,107,20,1,14,54,56,46,55,1,0,0.274,0.353,0.433,0.786
Jackson Merrill,SDP,OF,134,586,539,145,27,6,23,76,77,39,113,7,3,0.269,0.322,0.466,0.788
Corey Seager,TEX,SS,116,515,461,127,24,1,25,72,75,56,83,3,1,0.276,0.359,0.499,0.858
Trea Turner,PHI,SS,132,609,560,157,23,4,18,86,65,40,110,26,5,0.28,0.332,0.442,0.774
Kyle Tucker,LAD,OF,125,562,478,129,22,2,27,90,78,76,85,18,4,0.269,0.371,0.496,0.867
Bo Bichette,NYM,SS,132,585,539,155,27,3,18,73,74,38,95,6,2,0.288,0.337,0.449,0.786
Geraldo Perdomo,ARI,SS,126,562,487,131,23,5,12,77,55,68,74,19,5,0.27,0.365,0.411,0.776
Junior Caminero,TBR,3B,119,522,480,130,22,1,32,71,88,36,101,5,2,0.271,0.324,0.526,0.85
Alex Bregman,CHC,3B,142,638,553,144,32,2,23,85,77,67,89,3,1,0.26,0.345,0.439,0.784
Masyn Winn,STL,SS,147,629,578,151,22,5,16,72,69,45,107,12,4,0.261,0.319,0.405,0.724
Zach Neto,LAA,SS,133,599,539,136,24,3,26,83,69,41,143,27,7,0.252,0.32,0.456,0.776
Maikel Garcia,KCR,2B,138,620,558,154,23,4,13,82,62,53,90,26,6,0.276,0.339,0.418,0.757
